Año;Número de año;Norte - Centro Histórico;Metropolitana;Riomar;Suroccidente;Suroriental;Total
2006;0;183,992;249,704;78,734;360,265;281,947;1,154,642
2007;1;185,302;251,480;79,294;362,827;283,952;1,162,855
2008;2;186,590;253,229;79,845;365,350;285,926;1,170,940
2009;3;187,846;254,934;80,383;367,812;287,852;1,178,827
2010;4;189,055;256,575;80,901;370,177;289,704;1,186,412
2011;5;190,211;258,144;81,395;372,441;291,476;1,193,667
2012;6;191,302;259,624;81,862;374,577;293,148;1,200,513
2013;7;192,327;261,015;82,302;376,584;294,718;1,206,946
2014;8;193,283;262,312;82,710;378,455;296,183;1,212,943
2015;9;194,164;263,509;83,087;380,181;297,534;1,218,475
2016;10;194,984;264,621;83,437;381,786;298,788;1,223,616
2017;11;195,725;265,627;83,755;383,238;299,926;1,228,271
2018;12;196,393;266,534;84,040;384,546;300,949;1,232,462
2019;13;196,989;267,342;84,296;385,713;301,862;1,236,202
2020;14;197,598;268,170;84,556;386,906;302,795;1,240,025
2021;15;198,102;268,853;84,772;387,892;303,566;1,243,185
2022;16;198,542;269,450;84,960;388,753;304,241;1,245,946
2023;17;198,918;269,961;85,121;389,491;304,818;1,248,309
