Año;Localidad;sin
2017;Metropolitana;803
2018;Metropolitana;806
2019;Metropolitana;707
2020;Metropolitana;485
2021;Metropolitana;730
2022;Metropolitana;598
2017;Norte - Centro Historico;5706
2018;Norte - Centro Historico;5192
2019;Norte - Centro Historico;4760
2020;Norte - Centro Historico;2760
2021;Norte - Centro Historico;3593
2022;Norte - Centro Historico;2914
2017;Riomar;1770
2018;Riomar;1597
2019;Riomar;1377
2020;Riomar;734
2021;Riomar;1253
2022;Riomar;881
2017;Suroccidente;1995
2018;Suroccidente;1908
2019;Suroccidente;1985
2020;Suroccidente;1149
2021;Suroccidente;1721
2022;Suroccidente;1261
2017;Suroriental;2286
2018;Suroriental;2100
2019;Suroriental;2291
2020;Suroriental;1215
2021;Suroriental;1707
2022;Suroriental;1398
