Año;Localidad;sin_ha
2017;Metropolitana;0.68
2018;Metropolitana;0.69
2019;Metropolitana;0.6
2020;Metropolitana;0.41
2021;Metropolitana;0.62
2022;Metropolitana;0.51
2017;Norte - Centro Historico;2.05
2018;Norte - Centro Historico;1.87
2019;Norte - Centro Historico;1.71
2020;Norte - Centro Historico;0.99
2021;Norte - Centro Historico;1.29
2022;Norte - Centro Historico;1.05
2017;Riomar;1.35
2018;Riomar;1.22
2019;Riomar;1.05
2020;Riomar;0.56
2021;Riomar;0.95
2022;Riomar;0.67
2017;Suroccidente;0.81
2018;Suroccidente;0.78
2019;Suroccidente;0.81
2020;Suroccidente;0.47
2021;Suroccidente;0.7
2022;Suroccidente;0.51
2017;Suroriental;1.33
2018;Suroriental;1.22
2019;Suroriental;1.33
2020;Suroriental;0.71
2021;Suroriental;0.99
2022;Suroriental;0.81
