;2017;;;2018;;;2019;;;2020;;;2021;;;2022;;;2023;;
Barrio;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km
20 DE JULIO;40;1.19;6.36;53;1.58;8.43;52;1.55;8.27;50;1.49;7.95;55;1.64;8.75;37;1.10;5.88;13;0.39;2.07
7 DE ABRIL;81;0.70;2.82;131;1.13;4.56;84;0.73;2.93;71;0.61;2.47;84;0.73;2.93;59;0.51;2.05;17;0.15;0.59
7 DE AGOSTO;121;2.13;12.81;119;2.09;12.60;110;1.93;11.65;71;1.25;7.52;141;2.48;14.93;57;1.00;6.04;17;0.30;1.80
ALAMEDA DEL RIO;0;0.00;0.00;1;0.01;0.08;12;0.09;0.91;12;0.09;0.91;18;0.13;1.37;35;0.25;2.66;13;0.09;0.99
ALFONSO LOPEZ;61;2.85;9.39;59;2.76;9.09;70;3.27;10.78;34;1.59;5.24;71;3.32;10.93;35;1.63;5.39;17;0.79;2.62
ALTAMIRA;102;7.50;42.86;76;5.59;31.93;69;5.07;28.99;20;1.47;8.40;37;2.72;15.55;27;1.98;11.34;5;0.37;2.10
ALTO PRADO;464;3.58;23.26;391;3.02;19.60;386;2.98;19.35;195;1.51;9.78;272;2.10;13.64;165;1.27;8.27;42;0.32;2.11
ALTOS DE RIOMAR;156;2.92;16.57;111;2.08;11.79;115;2.15;12.22;61;1.14;6.48;102;1.91;10.84;61;1.14;6.48;33;0.62;3.51
ALTOS DEL LIMON;104;3.18;19.44;82;2.51;15.32;107;3.28;20.00;37;1.13;6.91;46;1.41;8.60;18;0.55;3.36;8;0.24;1.50
AMERICA;35;5.32;35.00;18;2.74;18.00;78;11.86;78.00;22;3.34;22.00;9;1.37;9.00;8;1.22;8.00;3;0.46;3.00
ANDALUCIA;62;2.21;14.53;50;1.78;11.72;58;2.06;13.59;20;0.71;4.69;53;1.89;12.42;28;1.00;6.56;12;0.43;2.81
ATLANTICO;61;3.62;13.60;43;2.55;9.59;53;3.15;11.82;20;1.19;4.46;23;1.37;5.13;34;2.02;7.58;3;0.18;0.67
BAPOM 2;5;0.10;1.24;4;0.08;0.99;9;0.17;2.23;0;0.00;0.00;4;0.08;0.99;0;0.00;0.00;0;0.00;0.00
BARLOVENTO;43;4.30;14.22;56;5.60;18.52;41;4.10;13.56;14;1.40;4.63;2;0.20;0.66;11;1.10;3.64;0;0.00;0.00
BARRIO ABAJO;242;2.81;10.51;193;2.24;8.39;152;1.77;6.60;84;0.98;3.65;139;1.62;6.04;94;1.09;4.08;31;0.36;1.35
BELLA ARENA;0;0.00;0.00;2;0.20;0.72;2;0.20;0.72;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00
BELLAVISTA;109;4.81;23.62;65;2.87;14.08;58;2.56;12.57;34;1.50;7.37;25;1.10;5.42;18;0.79;3.90;2;0.09;0.43
BETANIA;65;2.92;15.97;65;2.92;15.97;67;3.01;16.46;40;1.80;9.83;48;2.16;11.79;37;1.66;9.09;6;0.27;1.47
BOSTON;290;2.99;12.07;294;3.03;12.24;207;2.13;8.61;136;1.40;5.66;190;1.96;7.91;153;1.58;6.37;38;0.39;1.58
BOYACA;41;2.07;10.55;36;1.82;9.26;61;3.08;15.70;38;1.92;9.78;62;3.13;15.95;33;1.67;8.49;13;0.66;3.35
BUENA ESPERANZA;19;0.65;3.17;20;0.68;3.34;22;0.75;3.67;14;0.48;2.34;8;0.27;1.34;19;0.65;3.17;7;0.24;1.17
BUENAVISTA;132;3.32;11.48;144;3.62;12.53;102;2.56;8.87;54;1.36;4.70;119;2.99;10.35;90;2.26;7.83;9;0.23;0.78
BUENOS AIRES;55;2.02;5.58;49;1.80;4.97;37;1.36;3.75;26;0.95;2.64;43;1.58;4.36;27;0.99;2.74;17;0.62;1.72
CALIFORNIA;22;2.53;7.92;1;0.12;0.36;1;0.12;0.36;8;0.92;2.88;0;0.00;0.00;4;0.46;1.44;0;0.00;0.00
