BARRIO;LOCALIDAD;cant_siniestros;km_vias;area_m2;area_ha;siniestros/ha;siniestros/km
20 DE JULIO;Metropolitana;300;6.288;336253.588;33.625;8.92;47.71
7 DE ABRIL;Metropolitana;527;28.716;1157430.967;115.743;4.55;18.35
7 DE AGOSTO;Suroccidente;636;9.443;569034.508;56.903;11.18;67.35
ALAMEDA DEL RIO;Norte - Centro Historico;91;13.16;1380089.47;138.009;0.66;6.91
ALFONSO LOPEZ;Suroccidente;347;6.493;214070.335;21.407;16.21;53.44
ALTAMIRA;Riomar;336;2.38;136043.712;13.604;24.7;141.18
ALTO PRADO;Norte - Centro Historico;1915;19.946;1294761.38;129.476;14.79;96.01
ALTOS DE RIOMAR;Riomar;639;9.412;534229.222;53.423;11.96;67.89
ALTOS DEL LIMON;Riomar;402;5.351;326643.494;32.664;12.31;75.13
AMERICA;Norte - Centro Historico;173;1;65782.477;6.578;26.3;173
ANDALUCIA;Riomar;283;4.267;281127.784;28.113;10.07;66.32
ATLANTICO;Suroriental;237;4.484;168430.093;16.843;14.07;52.85
BAPOM 2;Norte - Centro Historico;22;4.031;519449.26;51.945;0.42;5.46
BARLOVENTO;Norte - Centro Historico;167;3.024;100057.876;10.006;16.69;55.22
BARRIO ABAJO;Norte - Centro Historico;935;23.017;860045.698;86.005;10.87;40.62
BELLA ARENA;Suroriental;4;2.771;98295.457;9.83;0.41;1.44
BELLAVISTA;Norte - Centro Historico;311;4.615;226516.675;22.652;13.73;67.39
BERNARDO HOYOS;Suroccidente;0;1.172;35602.793;3.56;0;0
BETANIA;Norte - Centro Historico;328;4.071;222464.79;22.246;14.74;80.57
BOSTON;Norte - Centro Historico;1308;24.028;970521.994;97.052;13.48;54.44
BOYACA;Suroriental;284;3.886;197816.835;19.782;14.36;73.08
BUENA ESPERANZA;Suroccidente;109;5.992;292900.696;29.29;3.72;18.19
BUENAVISTA;Riomar;650;11.497;397980.74;39.798;16.33;56.54
BUENOS AIRES;Metropolitana;254;9.856;272612.827;27.261;9.32;25.77
CALIFORNIA;Suroccidente;36;2.778;86877.926;8.688;4.14;12.96
